PerovNonPerovFINALANN
exp_label,R_a1,R_b1,R_x1,E_a1,E_b1,E_x1,C_a1,C_b2,C_x2,Material
0,1.28,0.31,1.4,1.93,2.96,3.44,1.42,0.45,1.26,AgBrO3
0,1.28,0.95,1.96,1.93,1.69,2.96,1.42,1.09,1.82,AgCdBr3
0,1.49,1.15,1.96,2.33,1.93,2.96,1.63,1.29,1.82,PbAgBr3
0,1.28,1,1.81,1.93,1,3.16,1.42,1.14,1.67,AgCaCl3
0,1.28,0.12,1.4,1.93,3.16,3.44,1.42,0.26,1.26,AgClO3
0,1.28,0.72,1.81,1.93,1.31,3.16,1.42,0.86,1.67,AgMgCl3
0,1.28,1.15,1.81,1.93,1.96,3.16,1.42,0.83,1.67,AgSnCl3
1,1.28,0.74,1.33,1.93,1.88,3.98,1.42,0.88,1.19,AgCoF3
1,1.28,0.73,1.33,1.93,1.9,3.98,1.42,0.87,1.19,AgCuF3
1,1.28,0.72,1.33,1.93,1.31,3.98,1.42,0.86,1.19,AgMgF3
1,1.28,0.83,1.33,1.93,1.55,3.98,1.42,0.97,1.19,AgMnF3
1,1.28,0.69,1.33,1.93,1.91,3.98,1.42,0.83,1.19,AgNiF3
0,1.49,1.15,1.33,2.33,1.93,3.98,1.63,1.29,1.19,PbAgF3
1,1.28,0.74,1.33,1.93,1.65,3.98,1.42,0.88,1.19,AgZnF3
0,1.28,0.13,1.4,1.93,3.04,3.44,1.42,0.27,1.26,AgNO3
1,1.28,0.64,1.4,1.93,1.6,3.44,1.42,0.78,1.26,AgNbO3
0,1.28,0.38,1.4,1.93,2.19,3.44,1.42,0.52,1.26,AgPO3
0,1.28,0.6,1.4,1.93,2.05,3.44,1.42,0.74,1.26,AgSbO3
1,1.28,0.64,1.4,1.93,1.5,3.44,1.42,0.78,1.26,AgTaO3
0,1.28,0.54,1.4,1.93,1.63,3.44,1.42,0.68,1.26,AgVO3
0,0.54,0.27,1.4,1.61,2.04,3.44,0.68,0.41,1.26,AlBO3
1,1.17,0.54,1.4,2.02,1.61,3.44,1.31,0.68,1.26,BiAlO3
1,1.34,0.54,1.4,1.12,1.61,3.44,1.48,0.68,1.26,CeAlO3
1,1.06,0.54,1.4,1.24,1.61,3.44,1.2,0.68,1.26,ErAlO3
1,1.12,0.54,1.4,1.2,1.61,3.44,1.26,0.68,1.26,EuAlO3
0,0.78,0.54,1.4,1.83,1.61,3.44,0.92,0.68,1.26,FeAlO3
1,1.36,0.54,1.4,1.1,1.61,3.44,1.5,0.68,1.26,LaAlO3
1,1.27,0.54,1.4,1.14,1.61,3.44,1.41,0.68,1.26,NdAlO3
1,1.18,0.54,1.4,1.13,1.61,3.44,1.32,0.68,1.26,PrAlO3
1,1.24,0.54,1.4,1.17,1.61,3.44,1.38,0.68,1.26,SmAlO3
1,1.1,0.54,1.4,1.22,1.61,3.44,1.24,0.68,1.26,TbAlO3
1,1.05,0.54,1.4,1.25,1.61,3.44,1.19,0.68,1.26,TmAlO3
1,1.08,0.54,1.4,1.22,1.61,3.44,1.22,0.68,1.26,YAlO3
1,1.04,0.54,1.4,1.1,1.61,3.44,1.18,0.68,1.26,YbAlO3
1,1.61,0.85,1.4,0.89,1.3,3.44,1.75,0.99,1.26,BaAmO3
1,1.44,0.85,1.4,0.95,1.3,3.44,1.58,0.99,1.26,SrAmO3
1,0.95,0.79,1.4,1.3,1.63,3.44,1.09,0.93,1.26,AmVO3
0,0.92,0.46,1.4,0.98,2.18,3.44,1.06,0.6,1.26,LiAsO3
0,1.39,0.46,1.4,0.93,2.18,3.44,1.53,0.6,1.26,NaAsO3
0,0.76,0.58,1.4,2.05,2.18,3.44,0.9,0.72,1.26,SbAsO3
